,ENSEMBLE,REAL,INTERPOLATE_RELPERM_INTERPOLATE_GO,INTERPOLATE_RELPERM_INTERPOLATE_WO,LOG10_MULTFLT_MULTFLT_F1,LOG10_MULTFLT_MULTFLT_F2,LOG10_MULTFLT_MULTFLT_F3,LOG10_MULTFLT_MULTFLT_F4,LOG10_MULTFLT_MULTFLT_F5,LOG10_MULTZ_MULTZ_MIDREEK,MULTFLT_MULTFLT_F1,MULTFLT_MULTFLT_F2,MULTFLT_MULTFLT_F3,MULTFLT_MULTFLT_F4,MULTFLT_MULTFLT_F5,MULTZ_MULTZ_MIDREEK,RMSGLOBPARAMS_COHIBA_MODEL_MODE,RMSGLOBPARAMS_FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
74,iter-1,74,-0.68868,-0.981237,-0.036701,-2.01665,-0.25515,-2.76966,-3.30268,-0.853658,0.918965,0.00962394,0.555712,0.00169956,0.000498098,0.140069,1,1703.32,-0.68868,-0.981237,0.918965,0.00962394,0.555712,0.00169956,0.000498098,0.140069,1,1703.32
75,iter-1,75,-0.814724,-0.942668,-1.22307,-3.06251,-0.415633,-2.75703,-2.92204,-0.94552,0.059831,0.000865948,0.384032,0.00174971,0.00119664,0.113365,1,1699.8,-0.814724,-0.942668,0.059831,0.000865948,0.384032,0.00174971,0.00119664,0.113365,1,1699.8
76,iter-1,76,-0.274058,-0.951238,-1.52095,-0.744375,-0.934755,-4.28438,-2.41809,-0.564692,0.0301332,0.180146,0.11621,5.19536e-05,0.00381864,0.272463,1,1702.91,-0.274058,-0.951238,0.0301332,0.180146,0.11621,5.19536e-05,0.00381864,0.272463,1,1702.91
77,iter-1,77,-0.162271,-0.964748,-0.128789,-0.317885,-0.507877,-4.21506,-1.93726,-2.27249,0.74338,0.480967,0.310544,6.09457e-05,0.0115542,0.00533964,1,1702.13,-0.162271,-0.964748,0.74338,0.480967,0.310544,6.09457e-05,0.0115542,0.00533964,1,1702.13
78,iter-1,78,-0.917119,-0.935146,-1.07029,-0.494606,-0.550178,-2.41813,-3.79186,-4.23026,0.0850566,0.32018,0.281723,0.00381832,0.000161489,5.88496e-05,1,1706.58,-0.917119,-0.935146,0.0850566,0.32018,0.281723,0.00381832,0.000161489,5.88496e-05,1,1706.58
79,iter-1,79,-0.738362,-0.987044,-0.0843191,-2.31512,-0.57641,-3.96417,-1.61168,-5.84619,0.823533,0.00484039,0.26521,0.0001086,0.024452,1.42498e-06,1,1707.07,-0.738362,-0.987044,0.823533,0.00484039,0.26521,0.0001086,0.024452,1.42498e-06,1,1707.07
80,iter-1,80,-0.925102,-0.984488,-0.36451,-0.916476,-0.507209,-2.60855,-1.525,-2.30499,0.432006,0.121206,0.311022,0.00246293,0.029854,0.00495465,1,1700.68,-0.925102,-0.984488,0.432006,0.121206,0.311022,0.00246293,0.029854,0.00495465,1,1700.68
81,iter-1,81,-0.606602,-0.994659,-0.419571,-1.52339,-0.548708,-3.95882,-1.95436,-2.67058,0.380565,0.0299645,0.282678,0.000109945,0.0111081,0.00213513,1,1703.15,-0.606602,-0.994659,0.380565,0.0299645,0.282678,0.000109945,0.0111081,0.00213513,1,1703.15
82,iter-1,82,-0.322239,-0.99906,-0.188254,-0.965454,-1.00793,-1.68454,-3.40362,-3.15164,0.648256,0.10828,0.098191,0.0206755,0.000394803,0.000705272,1,1707.34,-0.322239,-0.99906,0.648256,0.10828,0.098191,0.0206755,0.000394803,0.000705272,1,1707.34
83,iter-1,83,-0.778249,-0.982857,-0.402717,-0.645718,-1.36064,-3.47914,-2.88289,-4.29564,0.395625,0.22609,0.0435876,0.00033179,0.00130952,5.06248e-05,1,1707.57,-0.778249,-0.982857,0.395625,0.22609,0.0435876,0.00033179,0.00130952,5.06248e-05,1,1707.57
84,iter-1,84,-0.14924,-0.99771,-0.778701,-0.425252,-0.264481,-2.78876,-4.10993,-1.58629,0.166456,0.375619,0.543899,0.00162643,7.76378e-05,0.0259247,1,1705.46,-0.14924,-0.99771,0.166456,0.375619,0.543899,0.00162643,7.76378e-05,0.0259247,1,1705.46
85,iter-1,85,-0.109373,-0.978275,-0.256048,-0.404787,-0.834857,-2.3663,-2.67099,-6.19004,0.554565,0.393744,0.146266,0.00430234,0.00213312,6.45594e-07,1,1704.59,-0.109373,-0.978275,0.554565,0.393744,0.146266,0.00430234,0.00213312,6.45594e-07,1,1704.59
